Fecha,Aceites lubricantes,Asfalto,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado petroleo,Gasolina aviacion,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,PetCoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Orimulsion,Total,Anio
2007-11-01,0.0,36281.17,515855.99,0.0,48631.6,0.0,0.0,250108.611904762,1477.0,218116.79,417490.77,0.0,13720.9,0.0,0.0,73557.0,52597.23,0.0,0.0,779547.05,0.0,2407384.11190476,2007
2007-12-01,0.0,36570.14,431419.38,0.0,52596.0,0.0,0.0,253659.528571429,1009.0,252394.114285714,438542.793333333,0.0,23241.6,0.0,0.0,100226.5,47879.57,0.0,0.0,768886.87,0.0,2406425.49619048,2007
2008-01-01,0.0,33627.86,433142.36,0.0,50760.2,0.0,0.0,252508.333333333,1989.2,213645.39,403266.74,0.0,23736.5,0.0,0.0,95308.84,43860.96,0.0,0.0,797668.91,0.0,2349515.29333333,2008
2008-02-01,0.0,27023.37,430602.16,0.0,49177.79,0.0,0.0,241978.083333333,1282.48,215873.67,407735.55,0.0,12268.8,0.0,0.0,59523.695,43795.41,0.0,0.0,794000.25,0.0,2283261.25833333,2008
2008-03-01,0.0,24535.08,433126.79,0.0,54474.23,0.0,0.0,247679.038095238,1282.24,233761.07,424157.28,0.0,11053.6,0.0,0.0,90591.985,33091.99,0.0,0.0,776026.79,0.0,2329780.09309524,2008
2008-04-01,0.0,28686.75,521002.28,0.0,50481.01,0.0,0.0,243178.030952381,1389.7,233687.28,399193.53,0.0,9701.1,0.0,0.0,107236.47,33710.99,0.0,0.0,807725.77,0.0,2435992.91095238,2008
2008-05-01,0.0,30108.84,671159.46,0.0,40315.15,0.0,0.0,240798.45952381,1097.2,236635.85,390882.63,0.0,10184.3,0.0,0.0,108039.415,29039.12,0.0,0.0,682326.18,0.0,2440586.60452381,2008
2008-06-01,0.0,13816.19,512787.44,0.0,45117.89,0.0,0.0,242422.571428571,961.5,200656.57,337464.32,0.0,9387.8,0.0,0.0,109057.41,24325.03,0.0,0.0,507662.65,0.0,2003659.37142857,2008
2008-07-01,0.0,13246.41,374959.04,0.0,53791.45,0.0,0.0,243531.971428571,1376.0,228640.21,374847.05,0.0,12510.7,0.0,0.0,85805.5,20392.63,0.0,0.0,544399.26,0.0,1953500.22142857,2008
2008-08-01,0.0,17823.81,340442.84,0.0,52969.79,0.0,0.0,237062.519047619,1296.43,227499.0,378363.76,0.0,5642.2,0.0,0.0,57263.195,27582.41,0.0,0.0,556174.4,0.0,1902120.35404762,2008
